Check,Category,alternative_message,public_id
space_inside_square_brackets_detected,style,,space_inside_square_brackets_detected
surrounding_space_missing_for_operator_'+',style,,surrounding_space_missing_for_addition
surrounding_space_missing_for_operator_'=',style,,surrounding_space_missing_for_assign
surrounding_space_missing_for_operator_'||=',style,,surrounding_space_missing_for_t_square
surrounding_space_missing_for_operator_'>',style,,surrounding_space_missing_for_greater_than
surrounding_space_missing_for_operator_'*',style,,surrounding_space_missing_for_multiplication
surrounding_space_missing_for_operator_'+=',style,,surrounding_space_missing_for_incr
surrounding_space_missing_for_operator_'==',style,,surrounding_space_missing_for_equality
surrounding_space_missing_for_'{',style,,surrounding_space_missing_for_accolade
indent_when_as_deep_as_case,style,,indent_when_as_deep_as_case
prefer_single-quoted_strings_when_you_don't_need_string_interpolation_or_special_symbols,style,,prefer_single_quoted_strings
omit_the_parentheses_in_defs_when_the_method_doesn't_accept_any_arguments,style,,omit_parentheses_when_no_args
ambiguous_first_argument;_put_parentheses_or_even_spaces,style,,ambiguous_first_argument
IfUnlessModifier,style,Favor modifier if/unless usage when you have a single-line body. Another good alternative is the usage of control flow &&/||,favor_if_unless_for_single_line
`*'_interpreted_as_argument_prefix,style,,star_interpreted_as_argument_prefix
assigned_but_unused_variable,style,,assigned_but_unused_variable
space_inside_parentheses_detected,style,,space_inside_parentheses_detected
tab_detected,style,,space_inside_parentheses_detected
shadowing_outer_local_variable,style,,shadowing_outer_local_variable
the_new_lambda_literal_syntax_is_preferred_in_ruby_19,style,,prefer_ruby_19_new_lambda_syntax
"don't_use_parentheses_around_the_condition_of_an_if/unless/while/until,_unless_the_condition_contains_an_assignment",style,Don't use parentheses around the condition of an if/unless/while/until,don_t_use_parentheses_around_the_condition
prefer_reduce_over_inject,style,,prefer_reduce_over_inject
prefer_map_over_collect,style,,prefer_map_over_collect
avoid_parameter_lists_longer_than_four_parameters,style,,avoid_parameter_lists_longer_than_four_parameters
prefer_{}_over_doend_for_single-line_blocks,style,,prefer_accolades_over_doend_for_single-line_blocks
do_not_introduce_global_variables,code_smell,Avoid global variable.,avoid_global_variable
extra_blank_line_detected,style,,extra_blank_line_detected
extra_blank_line_detected_at_body_beginning,style,,extra_blank_line_detected_at_body_end
extra_blank_line_detected_at_body_end,style,,extra_blank_line_detected_at_body_beginning
missing_space_after_#,style,,space_missing_after_hash_sign
space_inside_{_missing,style,Space inside } missing,space_inside_closing_curly_brace_missing
space_inside_}_missing,style,Space inside { missing,space_inside_opening_curly_brace_missing
space_missing_inside_{,style,Space missing inside {,space_missing_inside_opening_curly_brace
space_missing_inside_},style,Space missing inside },space_missing_inside_closing_curly_brace
space_between_{_and_|_missing,style,Space between { and | missing,space_between_curly_brace_and_pipe_missing
surrounding_space_missing_for_operator_'=>',style,Surrounding space missing for operator '=>'.,surrounding_space_missing_for_arrow
surrounding_space_missing_for_operator_'-',style,Surrounding space missing for operator '-'.,surrounding_space_missing_for_minus
surrounding_space_missing_for_operator_'!=',style,Surrounding space missing for operator '!='.,surrounding_space_missing_for_not_equal
surrounding_space_missing_for_operator_'/',style,Surrounding space missing for operator '/'.,surrounding_space_missing_for_divide
trailing_whitespace_detected,style,,trailing_whitespace_detected
use_snake_case_for_symbols,style,,naming_convention_for_symbols
space_missing_after_semicolon,style,,space_missing_after_semicolon
toomuchstringliterals,style,We ignored double quote rule for this review,prefer_single_quoted_strings
toomuchhashsyntax,style,We ignored hash syntax rule for this review,prefer_ruby_19_new_hash_syntax
must_be_test_infected,test_infection,Your branch must be test infected.,improve_coverage_of_project
improve-coverage-class,test_infection,Add a test for the following class,improve_coverage_of_class
improve-coverage-method,test_infection,Add a test for the following method,improve_coverage_of_method
similar,copy_paste,"Consider refactoring, similar code detected.",avoid_similar_code
identical,copy_paste,Avoid copy/paste.,avoid_copy_paste
yard_missing_method_documentation,documentation,Add documentation to the following method,missing_method_documentation
yard_missing_class_documentation,documentation,Add documentation to the following class,missing_class_documentation
